movie_id;movie_name;year;votes_kp;votes_imdb;votes_filmCritics;votes_await;rating_kp;rating_imdb;rating_filmCritics;movieLength;ageRating;ratingMpaa;type;genres;countries;fees_usa;videos_trailers_number;budget;actor_metric;writer_metric;director_metric;Special_effects;Production
535341;1+1;2011;1678838.0;895482.0;130.0;15.0;8.813;8.5;6.8;112.0;18.0;r;movie;['драма', 'комедия', 'биография'];['Франция'];10198820;2.0;13205000.0;723221.6803434264;;;[];['Canal+[France]']
1143242;Джентльмены;2019;1524128.0;372380.0;277.0;13642.0;8.562;7.8;6.5;113.0;18.0;r;movie;['криминал', 'комедия', 'боевик'];['США', 'Великобритания'];36471795;4.0;22000000.0;54316529.527000345;4855018.642111761;8612017.558112923;[];[]
462682;Волк с Уолл-стрит;2013;1125382.0;1471424.0;289.0;43024.0;7.976;8.2;7.8;180.0;18.0;r;movie;['драма', 'криминал', 'биография', 'комедия'];['США'];116900694;3.0;100000000.0;45848332.328754;64723.56533486162;11145655.616938684;[];['AMT']
251733;Аватар;2009;1014540.0;1359191.0;335.0;38689.0;7.972;7.9;7.4;162.0;12.0;pg13;movie;['фантастика', 'боевик', 'драма', 'приключения'];['США'];785221649;3.0;237000000.0;7190519.093615404;2272067.9548584903;2347136.450462052;['Gentle Giant Studios Inc.', 'Industrial Light & Magic (ILM)', 'Lola Visual Effects', 'Third Floor, The'];['20th Century Fox Film Corporation', 'Millennium Films']
1188529;Достать ножи;2019;953836.0;742208.0;474.0;9141.0;8.102;7.9;8.3;130.0;18.0;pg13;movie;['детектив', 'комедия', 'драма', 'криминал'];['США'];165363234;4.0;40000000.0;83076270.64905295;6140030.84580811;6140030.84580811;['Industrial Light & Magic (ILM)'];['AMT']
447301;Начало;2010;937915.0;2461331.0;367.0;42545.0;8.663;8.8;8.1;148.0;12.0;pg13;movie;['фантастика', 'боевик', 'триллер', 'драма', 'детектив'];['США', 'Великобритания'];292576195;3.0;160000000.0;29859026.36187281;13133604.01235552;16677283.440737462;['Double Negative', 'Plowman Craven & Associates'];['Warner Bros. Pictures']
775276;Зверополис;2016;915543.0;518966.0;298.0;18811.0;8.315;8.0;8.1;108.0;6.0;pg;cartoon;['мультфильм', 'комедия', 'криминал', 'детектив', 'приключения', 'семейный'];['США'];341268248;3.0;150000000.0;30779175.60065089;1310473.731561049;2700996.675473425;[];[]
4374;Пираты Карибского моря: Проклятие Черной жемчужины;2003;886976.0;1158059.0;220.0;;8.373;8.1;7.1;143.0;12.0;pg13;movie;['фэнтези', 'боевик', 'приключения'];['США'];305413918;2.0;140000000.0;4386378.644416028;2259236.586085203;622637.4358115657;['Digiscope', 'Gentle Giant Studios Inc.', 'Industrial Light & Magic (ILM)', 'Method Studios', 'Pacific Title'];[]
689;Гарри Поттер и философский камень;2001;886716.0;813108.0;200.0;;8.264;7.6;7.1;152.0;12.0;pg;movie;['фэнтези', 'приключения', 'семейный'];['Великобритания', 'США'];317575550;5.0;125000000.0;2466557.0709071425;70524.71499075225;779923.015750971;['Cinesite', 'Gentle Giant Studios Inc.', 'Industrial Light & Magic (ILM)', 'Lidar Services Inc.', 'Rhythm & Hues', 'Sony Pictures Imageworks'];['Warner Bros. Pictures']
1108577;Зеленая книга;2018;884795.0;536517.0;364.0;6866.0;8.431;8.2;7.2;130.0;18.0;pg13;movie;['биография', 'комедия', 'драма'];['США', 'Китай'];85080171;2.0;23000000.0;19729270.360187605;1550549.42652332;1126597.6968461603;[];[]
